path	deprecated	experimental	chrome	chrome_android
css.properties.hyphenate-limit-chars	false	false	109	109
css.properties.hyphens	false	false	55	55
css.properties.hyphens.auto_value	false	false	88	55
css.properties.hyphens.language_afrikaans	false	false	false	false
css.properties.hyphens.language_bosnian	false	false	false	false
css.properties.hyphens.language_bulgarian	false	false	false	false
css.properties.hyphens.language_catalan	false	false	false	false
css.properties.hyphens.language_croatian	false	false	false	false
css.properties.hyphens.language_czech	false	false	false	false
css.properties.hyphens.language_danish	false	false	false	false
css.properties.hyphens.language_dutch	false	false	false	false
css.properties.hyphens.language_english	false	false	55	55
css.properties.hyphens.language_esperanto	false	false	false	false
css.properties.hyphens.language_estonian	false	false	false	false
css.properties.hyphens.language_finish	false	false	false	false
css.properties.hyphens.language_french	false	false	false	false
css.properties.hyphens.language_galician	false	false	false	false
css.properties.hyphens.language_german_reformed_orthography	false	false	false	false
css.properties.hyphens.language_german_swiss_orthography	false	false	false	false
css.properties.hyphens.language_german_traditional_orthography	false	false	false	false
css.properties.hyphens.language_hungarian	false	false	false	false
css.properties.hyphens.language_icelandic	false	false	false	false
css.properties.hyphens.language_interlingua	false	false	false	false
css.properties.hyphens.language_italian	false	false	false	false
css.properties.hyphens.language_kurmanji	false	false	false	false
css.properties.hyphens.language_latin	false	false	false	false
css.properties.hyphens.language_lithuanian	false	false	false	false
css.properties.hyphens.language_mongolian	false	false	false	false
css.properties.hyphens.language_norwegian_nn	false	false	false	false
css.properties.hyphens.language_norwegian_no	false	false	false	false
css.properties.hyphens.language_polish	false	false	false	false
css.properties.hyphens.language_portuguese	false	false	false	false
css.properties.hyphens.language_portuguese_brazilian	false	false	false	false
css.properties.hyphens.language_russian	false	false	false	false
css.properties.hyphens.language_slovenian	false	false	false	false
css.properties.hyphens.language_spanish	false	false	false	false
css.properties.hyphens.language_swedish	false	false	false	false
css.properties.hyphens.language_turkish	false	false	false	false
css.properties.hyphens.language_ukrainian	false	false	false	false
css.properties.hyphens.language_upper_sorbian	false	false	false	false
css.properties.hyphens.language_welsh	false	false	false	false
css.properties.image-orientation	false	false	81	81
css.properties.image-orientation.flip_and_angle	true	false	false	false
css.properties.image-rendering	false	false	13	18
css.properties.image-rendering.crisp-edges	false	false	13	18
css.properties.image-rendering.optimizeQuality	true	false	false	false
css.properties.image-rendering.optimizeSpeed	true	false	false	false
css.properties.image-rendering.pixelated	false	false	41	41
css.properties.ime-mode	true	false	false	false
css.properties.initial-letter	false	true	110	110
css.properties.initial-letter-align	false	true	false	false
css.properties.inline-size	false	false	57	57
css.properties.inline-size.fit-content	false	false	57	57
css.properties.inline-size.fit-content_function	false	true	false	false
css.properties.inline-size.max-content	false	false	57	57
css.properties.inline-size.min-content	false	false	57	57
css.properties.inset	false	false	87	87
css.properties.inset-block	false	false	87	87
