Feature	Chrome as of 31 Dec 2022	Edge as of 31 Dec 2022	Firefox as of 31 Dec 2022	Safari as of 31 Dec 2022	Chrome as of 13 Oct 2023	Edge as of 13 Oct 2023	Firefox as of 13 Oct 2023	Safari as of 13 Oct 2023
css.properties.font-synthesis-weight	true	true	false	false	true	true	true	true
css.properties.font-variant-alternates	false	false	true	true	true	true	true	true
css.properties.font-variant-alternates.annotation	false	false	true	true	true	true	true	true
css.properties.font-variant-alternates.character_variant	false	false	true	true	true	true	true	true
css.properties.font-variant-alternates.ornaments	false	false	true	true	true	true	true	true
css.properties.font-variant-alternates.styleset	false	false	true	true	true	true	true	true
css.properties.font-variant-alternates.stylistic	false	false	true	true	true	true	true	true
css.properties.font-variant-alternates.swash	false	false	true	true	true	true	true	true
css.properties.font-variant-position	false	false	true	true	true	true	true	true
css.properties.grid-template-columns.subgrid	false	false	true	true	true	true	true	true
css.properties.grid-template-rows.subgrid	false	false	true	true	true	true	true	true
css.properties.hyphenate-character	true	true	true	false	true	true	true	true
css.properties.hyphens	true	true	true	false	true	true	true	true
css.properties.math-style	false	false	false	true	true	true	true	true
css.properties.offset-anchor	false	false	true	true	true	true	true	true
css.properties.outline	true	true	true	false	true	true	true	true
css.properties.page	true	true	false	true	true	true	true	true
css.selectors.first	true	true	false	true	true	true	true	true
css.selectors.nth-child.of_syntax	false	false	false	true	true	true	true	true
css.types.acos	false	false	true	true	true	true	true	true
css.types.asin	false	false	true	true	true	true	true	true
css.types.atan	false	false	true	true	true	true	true	true
css.types.atan2	false	false	true	true	true	true	true	true
css.types.calc-constant.NaN	true	true	false	true	true	true	true	true
css.types.calc-constant.infinity	true	true	false	true	true	true	true	true
css.types.color.color	false	false	false	true	true	true	true	true
css.types.color.color-mix	false	false	false	true	true	true	true	true
css.types.color.lab	false	false	false	true	true	true	true	true
css.types.color.lch	false	false	false	true	true	true	true	true
css.types.color.oklab	false	false	false	true	true	true	true	true
css.types.color.oklch	false	false	false	true	true	true	true	true
css.types.cos	false	false	true	true	true	true	true	true
css.types.image.image-set	false	false	true	true	true	true	true	true
css.types.length.container_query_length_units	true	true	false	true	true	true	true	true
css.types.sin	false	false	true	true	true	true	true	true
css.types.tan	false	false	true	true	true	true	true	true
html.elements.form.rel	true	true	false	true	true	true	true	true
html.elements.input.dirname	true	true	false	true	true	true	true	true
html.elements.script.type.importmap	true	true	true	false	true	true	true	true
html.elements.textarea.dirname	true	true	false	true	true	true	true	true
html.global_attributes.inert	true	true	false	true	true	true	true	true
html.global_attributes.translate	true	true	false	true	true	true	true	true
http.headers.Content-Security-Policy.script-src.external_scripts	true	true	false	true	true	true	true	true
http.headers.Content-Security-Policy.unsafe-hashes	true	true	false	true	true	true	true	true
http.headers.Range.cors_safe	true	true	false	true	true	true	true	true
http.headers.Sec-Fetch-Dest	true	true	true	false	true	true	true	true
http.headers.Sec-Fetch-Mode	true	true	true	false	true	true	true	true
http.headers.Sec-Fetch-Site	true	true	true	false	true	true	true	true
http.headers.Sec-Fetch-User	true	true	true	false	true	true	true	true
javascript.builtins.Array.toReversed	false	false	false	true	true	true	true	true
javascript.builtins.Array.toSorted	false	false	false	true	true	true	true	true
javascript.builtins.Array.toSpliced	false	false	false	true	true	true	true	true
javascript.builtins.Array.with	false	false	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.NumberFormat.options_roundingIncrement_parameter	true	true	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.NumberFormat.options_roundingMode_parameter	true	true	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.NumberFormat.options_roundingPriority_parameter	true	true	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.NumberFormat.options_trailingZeroDisplay_parameter	true	true	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.NumberFormat.options_useGrouping_parameter.string_values	true	true	false	false	true	true	true	true
javascript.builtins.Intl.NumberFormat.format.number_parameter-string_decimal	true	true	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.formatRange	true	true	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.formatRangeToParts	true	true	false	true	true	true	true	true
javascript.builtins.Intl.NumberFormat.resolvedOptions.result_roundingIncrement_property	true	true	false	false	true	true	true	true
javascript.builtins.Intl.NumberFormat.resolvedOptions.result_roundingMode_property	true	true	false	false	true	true	true	true
javascript.builtins.Intl.NumberFormat.resolvedOptions.result_roundingPriority_property	true	true	false	false	true	true	true	true
javascript.builtins.Intl.NumberFormat.resolvedOptions.result_signDisplay_property	true	true	false	false	true	true	true	true
javascript.builtins.Intl.NumberFormat.resolvedOptions.result_trailingZeroDisplay_property	true	true	false	false	true	true	true	true
javascript.builtins.Intl.NumberFormat.resolvedOptions.result_useGrouping_property	true	true	false	false	true	true	true	true
javascript.builtins.Intl.PluralRules.selectRange	true	true	false	true	true	true	true	true
javascript.builtins.RegExp.unicodeSets	false	false	false	false	true	true	true	true
javascript.builtins.TypedArray.toReversed	false	false	false	true	true	true	true	true
javascript.builtins.TypedArray.toSorted	false	false	false	true	true	true	true	true
javascript.builtins.TypedArray.with	false	false	false	true	true	true	true	true
javascript.classes.static_initialization_blocks	true	true	true	false	true	true	true	true
javascript.operators.import.worker_support	true	true	false	true	true	true	true	true
javascript.operators.import_meta.resolve	true	true	true	false	true	true	true	true
javascript.regular_expressions.lookbehind_assertion	true	true	true	false	true	true	true	true
